Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
123192484,Bluejay,Megan Stockton,"Stockton, Megan",,"=""""","=""""",0,D&T Publishing,ebook,,2023,,,2026/05/24,to-read,to-read (#22),to-read,,,,0,0
57443696,"Kingdoms of Death (The Sun Eater, #4)",Christopher Ruocchio,"Ruocchio, Christopher",,"=""1473218357""","=""9781473218352""",0,Gollancz,Paperback,544,2022,2022,,2026/05/24,to-read,to-read (#21),to-read,,,,0,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",0,Tor Books,Hardcover,572,2008,2008,,2026/05/24,to-read,to-read (#20),to-read,,,,0,0
36505403,Boy's Life,Robert McCammon,"McCammon, Robert",,"=""""","=""""",0,Open Road Media,Kindle Edition,627,2011,1991,,2026/05/24,to-read,to-read (#19),to-read,,,,0,0
17571466,The Troop,Nick Cutter,"Cutter, Nick",,"=""1476717710""","=""9781476717715""",0,Gallery Books,Hardcover,358,2014,2014,,2026/05/24,to-read,to-read (#18),to-read,,,,0,0
58416952,"The Will of the Many (Hierarchy, #1)",James Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",0,Gallery / Saga Press,Kindle Edition,640,2023,2023,,2026/05/24,to-read,to-read (#17),to-read,,,,0,0
60012447,The Lord of the Rings Illustrated,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0358623405""","=""9780358623403""",0,William Morrow & Company,ebook,1248,2021,1959,,2026/05/24,to-read,to-read (#16),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",0,Penguin Classics,Paperback,1276,2003,1846,,2026/05/24,to-read,to-read (#15),to-read,,,,0,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",0,Penguin Books,Paperback,452,2000,1999,,2026/05/24,to-read,to-read (#14),to-read,,,,0,0
199114861,Pilgrim: A Medieval Horror,Mitchell Lüthi,"Lüthi, Mitchell",,"=""""","=""""",0,Sentinel Creatives,Kindle Edition,708,2023,2023,,2026/05/24,to-read,to-read (#13),to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",0,Ecco,Paperback,408,2012,2011,,2026/05/24,to-read,to-read (#12),to-read,,,,0,0
